,Image,Description,Reference,Match,Book,Cleaned_Description,Lemmatized_Description,Stemmed_Description,split
2482,dataset/images/19.pdf/page_126_image_6.jpeg,Extrinsic eye muscles of a sheep a A posterior view with the optic nerve intact b A posterior view with the optic nerve removed,[],<None>,19.pdf,extrinsic eye muscles sheep posterior view optic nerve intact b posterior view optic nerve removed,extrinsic eye muscle sheep posterior view optic nerve intact b posterior view optic nerve removed,extrins eye muscl sheep posterior view optic nerv intact b posterior view optic nerv remov,train
2483,dataset/images/19.pdf/page_128_image_3.jpeg,An anterior view of the structure of the heart 1 Superior vena cava 2 Ascending aorta 3  Branches of right pulmonary artery 4 Auricle of right atrium 5 Right pulmonary veins 6 Right atrium 7  Right coronary artery and vein 8 Right ventricle 9 Inferior vena cava 10 Thoracic aorta 11 Aortic arch,[],<None>,19.pdf,anterior view structure heart 1 superior vena cava 2 ascending aorta 3 branches right pulmonary artery 4 auricle right atrium 5 right pulmonary veins 6 right atrium 7 right coronary artery vein 8 right ventricle 9 inferior vena cava 10 thoracic aorta 11 aortic arch,anterior view structure heart 1 superior vena cava 2 ascending aorta 3 branch right pulmonary artery 4 auricle right atrium 5 right pulmonary vein 6 right atrium 7 right coronary artery vein 8 right ventricle 9 inferior vena cava 10 thoracic aorta 11 aortic arch,anterior view structur heart 1 superior vena cava 2 ascend aorta 3 branch right pulmonari arteri 4 auricl right atrium 5 right pulmonari vein 6 right atrium 7 right coronari arteri vein 8 right ventricl 9 inferior vena cava 10 thorac aorta 11 aortic arch,train
2484,dataset/images/19.pdf/page_128_image_4.jpeg,An internal view of the structure of the heart 1 Interatrial septum 2 Right atrium 3  Tricuspid valve 4 Right ventricle 5 Myocardium 6 Aortic arch 7  Pulmonary valve 8 Left atrium,[],<None>,19.pdf,internal view structure heart 1 interatrial septum 2 right atrium 3 tricuspid valve 4 right ventricle 5 myocardium 6 aortic arch 7 pulmonary valve 8 left atrium,internal view structure heart 1 interatrial septum 2 right atrium 3 tricuspid valve 4 right ventricle 5 myocardium 6 aortic arch 7 pulmonary valve 8 left atrium,intern view structur heart 1 interatri septum 2 right atrium 3 tricuspid valv 4 right ventricl 5 myocardium 6 aortic arch 7 pulmonari valv 8 left atrium,train
2485,dataset/images/19.pdf/page_129_image_1.jpeg,The valves of the heart a Diastole atrioventricular valves open b Systole semilunar valves open 1 Pulmonary semilunar valve 2 Aortic semilunar valve 3  Tricuspid right atrioventricular valve 4 Bicuspid left atrioventricular valve,[],<None>,19.pdf,valves heart diastole atrioventricular valves open b systole semilunar valves open 1 pulmonary semilunar valve 2 aortic semilunar valve 3 tricuspid right atrioventricular valve 4 bicuspid left atrioventricular valve,valve heart diastole atrioventricular valve open b systole semilunar valve open 1 pulmonary semilunar valve 2 aortic semilunar valve 3 tricuspid right atrioventricular valve 4 bicuspid left atrioventricular valve,valv heart diastol atrioventricular valv open b systol semilunar valv open 1 pulmonari semilunar valv 2 aortic semilunar valv 3 tricuspid right atrioventricular valv 4 bicuspid left atrioventricular valv,train
2486,dataset/images/19.pdf/page_129_image_2.jpeg,The valves of the heart a Diastole atrioventricular valves open b Systole semilunar valves open 1 Pulmonary semilunar valve 2 Aortic semilunar valve 3  Tricuspid right atrioventricular valve 4 Bicuspid left atrioventricular valve,[],<None>,19.pdf,valves heart diastole atrioventricular valves open b systole semilunar valves open 1 pulmonary semilunar valve 2 aortic semilunar valve 3 tricuspid right atrioventricular valve 4 bicuspid left atrioventricular valve,valve heart diastole atrioventricular valve open b systole semilunar valve open 1 pulmonary semilunar valve 2 aortic semilunar valve 3 tricuspid right atrioventricular valve 4 bicuspid left atrioventricular valve,valv heart diastol atrioventricular valv open b systol semilunar valv open 1 pulmonari semilunar valv 2 aortic semilunar valv 3 tricuspid right atrioventricular valv 4 bicuspid left atrioventricular valv,train
2487,dataset/images/19.pdf/page_130_image_1.jpeg,The position of the heart within the pericardium 1 Mediastinum 2 Right lung 3 Pericardium,[],<None>,19.pdf,position heart within pericardium 1 mediastinum 2 right lung 3 pericardium,position heart within pericardium 1 mediastinum 2 right lung 3 pericardium,posit heart within pericardium 1 mediastinum 2 right lung 3 pericardium,train
2488,dataset/images/19.pdf/page_130_image_2.jpeg,The position of the heart within the pericardium 1 Mediastinum 2 Right lung 3 Pericardium,[],<None>,19.pdf,position heart within pericardium 1 mediastinum 2 right lung 3 pericardium,position heart within pericardium 1 mediastinum 2 right lung 3 pericardium,posit heart within pericardium 1 mediastinum 2 right lung 3 pericardium,train
2489,dataset/images/19.pdf/page_130_image_3.jpeg,An anterior view of the heart and associated structures 1  Thyroid cartilage of larynx,[],<None>,19.pdf,anterior view heart associated structures 1 thyroid cartilage larynx,anterior view heart associated structure 1 thyroid cartilage larynx,anterior view heart associ structur 1 thyroid cartilag larynx,train
2490,dataset/images/19.pdf/page_131_image_1.jpeg,A double coronary artery bypass surgery Several vessels may be used in the autotransplant including the internal thoracic artery and the great saphenous vein 1 A graft to the ascending aorta,[],<None>,19.pdf,double coronary artery bypass surgery several vessels may used autotransplant including internal thoracic artery great saphenous vein 1 graft ascending aorta,double coronary artery bypass surgery several vessel may used autotransplant including internal thoracic artery great saphenous vein 1 graft ascending aorta,doubl coronari arteri bypass surgeri sever vessel may use autotranspl includ intern thorac arteri great saphen vein 1 graft ascend aorta,train
2491,dataset/images/19.pdf/page_131_image_2.jpeg,A double coronary artery bypass surgery Several vessels may be used in the autotransplant including the internal thoracic artery and the great saphenous vein 1 A graft to the ascending aorta,[],<None>,19.pdf,double coronary artery bypass surgery several vessels may used autotransplant including internal thoracic artery great saphenous vein 1 graft ascending aorta,double coronary artery bypass surgery several vessel may used autotransplant including internal thoracic artery great saphenous vein 1 graft ascending aorta,doubl coronari arteri bypass surgeri sever vessel may use autotranspl includ intern thorac arteri great saphen vein 1 graft ascend aorta,train
2492,dataset/images/19.pdf/page_131_image_3.jpeg,An anterior a and posterior b views of the heart and great vessels,[],<None>,19.pdf,anterior posterior b views heart great vessels,anterior posterior b view heart great vessel,anterior posterior b view heart great vessel,train
2493,dataset/images/19.pdf/page_131_image_4.jpeg,An anterior a and posterior b views of the heart and great vessels,[],<None>,19.pdf,anterior posterior b views heart great vessels,anterior posterior b view heart great vessel,anterior posterior b view heart great vessel,train
2494,dataset/images/19.pdf/page_131_image_5.jpeg,A superior view of the great vessels of the heart and aortic valve 1 Pulmonary trunk 2 Pulmonary valve 3 Ascending aorta 4 Aortic valve 5 Right atrium 6 Superior vena cava 7 Pulmonary vein,[],<None>,19.pdf,superior view great vessels heart aortic valve 1 pulmonary trunk 2 pulmonary valve 3 ascending aorta 4 aortic valve 5 right atrium 6 superior vena cava 7 pulmonary vein,superior view great vessel heart aortic valve 1 pulmonary trunk 2 pulmonary valve 3 ascending aorta 4 aortic valve 5 right atrium 6 superior vena cava 7 pulmonary vein,superior view great vessel heart aortic valv 1 pulmonari trunk 2 pulmonari valv 3 ascend aorta 4 aortic valv 5 right atrium 6 superior vena cava 7 pulmonari vein,train
2495,dataset/images/19.pdf/page_132_image_1.jpeg,A dorsal view of mammalian sheep heart,[],<None>,19.pdf,dorsal view mammalian sheep heart,dorsal view mammalian sheep heart,dorsal view mammalian sheep heart,train
2496,dataset/images/19.pdf/page_132_image_3.jpeg,A coronal section of the mammalian sheep heart showing the valves 1  Opening of the brachiocephalic artery,[],<None>,19.pdf,coronal section mammalian sheep heart showing valves 1 opening brachiocephalic artery,coronal section mammalian sheep heart showing valve 1 opening brachiocephalic artery,coron section mammalian sheep heart show valv 1 open brachiocephal arteri,train
2497,dataset/images/19.pdf/page_132_image_4.jpeg,A coronal section of the mammalian sheep heart  1 Aorta 2 Cranial vena cava 3 Right atrium 4  Right atrioventricular tricuspid valve,[],<None>,19.pdf,coronal section mammalian sheep heart 1 aorta 2 cranial vena cava 3 right atrium 4 right atrioventricular tricuspid valve,coronal section mammalian sheep heart 1 aorta 2 cranial vena cava 3 right atrium 4 right atrioventricular tricuspid valve,coron section mammalian sheep heart 1 aorta 2 cranial vena cava 3 right atrium 4 right atrioventricular tricuspid valv,train
2498,dataset/images/19.pdf/page_133_image_1.jpeg,The arteries of the pelvic cavity,[],<None>,19.pdf,arteries pelvic cavity,artery pelvic cavity,arteri pelvic caviti,train
2499,dataset/images/19.pdf/page_133_image_3.jpeg,An angiogram showing the branches of the common carotid and external carotid arteries 1 Meningeal arteries 2 Occipital artery 3 Internal carotid artery 4 Common carotid artery 5  Internal carotid artery to cerebral arterial circle circle of Willis,[],<None>,19.pdf,angiogram showing branches common carotid external carotid arteries 1 meningeal arteries 2 occipital artery 3 internal carotid artery 4 common carotid artery 5 internal carotid artery cerebral arterial circle circle willis,angiogram showing branch common carotid external carotid artery 1 meningeal artery 2 occipital artery 3 internal carotid artery 4 common carotid artery 5 internal carotid artery cerebral arterial circle circle willis,angiogram show branch common carotid extern carotid arteri 1 mening arteri 2 occipit arteri 3 intern carotid arteri 4 common carotid arteri 5 intern carotid arteri cerebr arteri circl circl willi,train
2500,dataset/images/19.pdf/page_133_image_4.jpeg,The arteries of the lower abdominal cavity,[],<None>,19.pdf,arteries lower abdominal cavity,artery lower abdominal cavity,arteri lower abdomin caviti,train
2501,dataset/images/19.pdf/page_133_image_5.jpeg,The arteries of the lower abdominal cavity,[],<None>,19.pdf,arteries lower abdominal cavity,artery lower abdominal cavity,arteri lower abdomin caviti,train
2502,dataset/images/19.pdf/page_134_image_1.jpeg,Artery and vein 1 Artery 2 Vein,[],<None>,19.pdf,artery vein 1 artery 2 vein,artery vein 1 artery 2 vein,arteri vein 1 arteri 2 vein,train
2503,dataset/images/19.pdf/page_134_image_2.jpeg,Wall of muscular artery,[],<None>,19.pdf,wall muscular artery,wall muscular artery,wall muscular arteri,train
2504,dataset/images/19.pdf/page_134_image_3.jpeg,An angiogram of the arteries of the right thigh 1  Deep femoral artery,[],<None>,19.pdf,angiogram arteries right thigh 1 deep femoral artery,angiogram artery right thigh 1 deep femoral artery,angiogram arteri right thigh 1 deep femor arteri,train
2505,dataset/images/19.pdf/page_134_image_4.jpeg,Arterial plaque from femoral arteries Figure 1228 Wall of elastic artery 1 Tunica adventitia 3 Tunica intima,[],<None>,19.pdf,arterial plaque femoral arteries figure 1228 wall elastic artery 1 tunica adventitia 3 tunica intima,arterial plaque femoral artery figure 1228 wall elastic artery 1 tunica adventitia 3 tunica intima,arteri plaqu femor arteri figur 1228 wall elast arteri 1 tunica adventitia 3 tunica intima,train
2506,dataset/images/19.pdf/page_134_image_5.jpeg,An angiogram of the arteries of the right thigh 1  Deep femoral artery,[],<None>,19.pdf,angiogram arteries right thigh 1 deep femoral artery,angiogram artery right thigh 1 deep femoral artery,angiogram arteri right thigh 1 deep femor arteri,train
2507,dataset/images/19.pdf/page_134_image_6.jpeg,Arterial plaque from femoral arteries Figure 1228 Wall of elastic artery 1 Tunica adventitia 3 Tunica intima,[],<None>,19.pdf,arterial plaque femoral arteries figure 1228 wall elastic artery 1 tunica adventitia 3 tunica intima,arterial plaque femoral artery figure 1228 wall elastic artery 1 tunica adventitia 3 tunica intima,arteri plaqu femor arteri figur 1228 wall elast arteri 1 tunica adventitia 3 tunica intima,train
2508,dataset/images/19.pdf/page_135_image_1.jpeg,An electron micrograph of a blood clot 1 Erythrocytes 2 Thrombocytes,[],<None>,19.pdf,electron micrograph blood clot 1 erythrocytes 2 thrombocytes,electron micrograph blood clot 1 erythrocyte 2 thrombocyte,electron micrograph blood clot 1 erythrocyt 2 thrombocyt,train
2509,dataset/images/19.pdf/page_135_image_4.jpeg,An electron micrograph of blood cells in the lumen of a blood vessel 1 Leukocytes 2 Erythrocytes,[],<None>,19.pdf,electron micrograph blood cells lumen blood vessel 1 leukocytes 2 erythrocytes,electron micrograph blood cell lumen blood vessel 1 leukocyte 2 erythrocyte,electron micrograph blood cell lumen blood vessel 1 leukocyt 2 erythrocyt,train
2510,dataset/images/19.pdf/page_135_image_5.jpeg,Arteriole capillary and venule 1 Capillary 3 Venule,[],<None>,19.pdf,arteriole capillary venule 1 capillary 3 venule,arteriole capillary venule 1 capillary 3 venule,arteriol capillari venul 1 capillari 3 venul,train
2511,dataset/images/19.pdf/page_135_image_6.jpeg,SEM photomicrograph of a capillary 1 Nucleus 4 Lumen of capillary,[],<None>,19.pdf,sem photomicrograph capillary 1 nucleus 4 lumen capillary,sem photomicrograph capillary 1 nucleus 4 lumen capillary,sem photomicrograph capillari 1 nucleu 4 lumen capillari,train
2512,dataset/images/19.pdf/page_135_image_10.jpeg,Wall of large vein 1 Tunica adventitia 3 Tunica media,[],<None>,19.pdf,wall large vein 1 tunica adventitia 3 tunica media,wall large vein 1 tunica adventitia 3 tunica medium,wall larg vein 1 tunica adventitia 3 tunica media,train
2513,dataset/images/19.pdf/page_136_image_1.jpeg,The steps of a sheep heart dissection ae,[],<None>,19.pdf,steps sheep heart dissection ae,step sheep heart dissection ae,step sheep heart dissect ae,train
2514,dataset/images/19.pdf/page_136_image_2.jpeg,The steps of a sheep heart dissection ae,[],<None>,19.pdf,steps sheep heart dissection ae,step sheep heart dissection ae,step sheep heart dissect ae,train
2515,dataset/images/19.pdf/page_136_image_3.jpeg,The steps of a sheep heart dissection ae,[],<None>,19.pdf,steps sheep heart dissection ae,step sheep heart dissection ae,step sheep heart dissect ae,train
2516,dataset/images/19.pdf/page_136_image_4.jpeg,The steps of a sheep heart dissection ae,[],<None>,19.pdf,steps sheep heart dissection ae,step sheep heart dissection ae,step sheep heart dissect ae,train
2517,dataset/images/19.pdf/page_137_image_1.jpeg,Thymic medulla 1 Hassalls corpuscle,[],<None>,19.pdf,thymic medulla 1 hassalls corpuscle,thymic medulla 1 hassalls corpuscle,thymic medulla 1 hassal corpuscl,train
2518,dataset/images/19.pdf/page_137_image_2.jpeg,Thymus 1 Cortex 2 Medulla,[],<None>,19.pdf,thymus 1 cortex 2 medulla,thymus 1 cortex 2 medulla,thymu 1 cortex 2 medulla,train
2519,dataset/images/19.pdf/page_137_image_3.jpeg,The structure of the lymphatic system,[],<None>,19.pdf,structure lymphatic system,structure lymphatic system,structur lymphat system,train
2520,dataset/images/19.pdf/page_138_image_1.jpeg,The thymus within a fetus during the third trimester of development 1 Thymus 2 Lung 3 Heart,[],<None>,19.pdf,thymus within fetus third trimester development 1 thymus 2 lung 3 heart,thymus within fetus third trimester development 1 thymus 2 lung 3 heart,thymu within fetu third trimest develop 1 thymu 2 lung 3 heart,train
2521,dataset/images/19.pdf/page_138_image_2.jpeg,Spleen 1 Central artery 2 Splenic nodule 3 Germinal center,[],<None>,19.pdf,spleen 1 central artery 2 splenic nodule 3 germinal center,spleen 1 central artery 2 splenic nodule 3 germinal center,spleen 1 central arteri 2 splenic nodul 3 germin center,train
2522,dataset/images/19.pdf/page_138_image_3.jpeg,The spleen within the abdominal cavity with overlying viscera removed 1 Stomach reflected 2 Pancreas 3 Duodenum,[],<None>,19.pdf,spleen within abdominal cavity overlying viscera removed 1 stomach reflected 2 pancreas 3 duodenum,spleen within abdominal cavity overlying viscera removed 1 stomach reflected 2 pancreas 3 duodenum,spleen within abdomin caviti overli viscera remov 1 stomach reflect 2 pancrea 3 duodenum,train
2523,dataset/images/19.pdf/page_138_image_4.jpeg,The spleen and pancreas 1 Pancreas 2 Pancreatic duct 3 Spleen 4 Splenic artery 5 Splenic vein,[],<None>,19.pdf,spleen pancreas 1 pancreas 2 pancreatic duct 3 spleen 4 splenic artery 5 splenic vein,spleen pancreas 1 pancreas 2 pancreatic duct 3 spleen 4 splenic artery 5 splenic vein,spleen pancrea 1 pancrea 2 pancreat duct 3 spleen 4 splenic arteri 5 splenic vein,train
2524,dataset/images/19.pdf/page_139_image_1.jpeg,Palatine tonsil 1 Oral mucosa 2 Lymphatic nodule 3 Germinal centers,[],<None>,19.pdf,palatine tonsil 1 oral mucosa 2 lymphatic nodule 3 germinal centers,palatine tonsil 1 oral mucosa 2 lymphatic nodule 3 germinal center,palatin tonsil 1 oral mucosa 2 lymphat nodul 3 germin center,train
2525,dataset/images/19.pdf/page_139_image_3.jpeg,A lymph node,[],<None>,19.pdf,lymph node,lymph node,lymph node,train
2526,dataset/images/19.pdf/page_140_image_1.jpeg,Tracheal wall 1 Respiratory epithelium 2 Basement membrane 3 Duct of seromucous gland,[],<None>,19.pdf,tracheal wall 1 respiratory epithelium 2 basement membrane 3 duct seromucous gland,tracheal wall 1 respiratory epithelium 2 basement membrane 3 duct seromucous gland,tracheal wall 1 respiratori epithelium 2 basement membran 3 duct seromuc gland,train
2527,dataset/images/19.pdf/page_140_image_2.jpeg,The structure of the respiratory system,[],<None>,19.pdf,structure respiratory system,structure respiratory system,structur respiratori system,train
2528,dataset/images/19.pdf/page_140_image_3.jpeg,The structure of the respiratory system,[],<None>,19.pdf,structure respiratory system,structure respiratory system,structur respiratori system,valid
2529,dataset/images/19.pdf/page_141_image_1.jpeg,An anterior view of the larynx trachea and lungs 1 Epiglottis 2 Thyroid cartilage 3 Cricoid cartilage 4 Thyroid gland 5 Right lung 6  Right principal primary bronchus,[],<None>,19.pdf,anterior view larynx trachea lungs 1 epiglottis 2 thyroid cartilage 3 cricoid cartilage 4 thyroid gland 5 right lung 6 right principal primary bronchus,anterior view larynx trachea lung 1 epiglottis 2 thyroid cartilage 3 cricoid cartilage 4 thyroid gland 5 right lung 6 right principal primary bronchus,anterior view larynx trachea lung 1 epiglotti 2 thyroid cartilag 3 cricoid cartilag 4 thyroid gland 5 right lung 6 right princip primari bronchu,train
2530,dataset/images/19.pdf/page_141_image_2.jpeg,An anterior view of the larynx trachea and lungs 1 Epiglottis 2 Thyroid cartilage 3 Cricoid cartilage 4 Thyroid gland 5 Right lung 6  Right principal primary bronchus,[],<None>,19.pdf,anterior view larynx trachea lungs 1 epiglottis 2 thyroid cartilage 3 cricoid cartilage 4 thyroid gland 5 right lung 6 right principal primary bronchus,anterior view larynx trachea lung 1 epiglottis 2 thyroid cartilage 3 cricoid cartilage 4 thyroid gland 5 right lung 6 right principal primary bronchus,anterior view larynx trachea lung 1 epiglotti 2 thyroid cartilag 3 cricoid cartilag 4 thyroid gland 5 right lung 6 right princip primari bronchu,train
2531,dataset/images/19.pdf/page_141_image_3.jpeg,An anterior view of the larynx trachea and lungs 1 Epiglottis 2 Thyroid cartilage 3 Cricoid cartilage 4 Thyroid gland 5 Right lung 6  Right principal primary bronchus,[],<None>,19.pdf,anterior view larynx trachea lungs 1 epiglottis 2 thyroid cartilage 3 cricoid cartilage 4 thyroid gland 5 right lung 6 right principal primary bronchus,anterior view larynx trachea lung 1 epiglottis 2 thyroid cartilage 3 cricoid cartilage 4 thyroid gland 5 right lung 6 right principal primary bronchus,anterior view larynx trachea lung 1 epiglotti 2 thyroid cartilag 3 cricoid cartilag 4 thyroid gland 5 right lung 6 right princip primari bronchu,train
2532,dataset/images/19.pdf/page_142_image_1.jpeg,Terminal bronchiole 1 Terminal bronchiole 2 Respiratory bronchiole,[],<None>,19.pdf,terminal bronchiole 1 terminal bronchiole 2 respiratory bronchiole,terminal bronchiole 1 terminal bronchiole 2 respiratory bronchiole,termin bronchiol 1 termin bronchiol 2 respiratori bronchiol,train
2533,dataset/images/19.pdf/page_142_image_2.jpeg,An electron micrograph of the lining of the trachea 1 Cilia 2 Goblet cell,[],<None>,19.pdf,electron micrograph lining trachea 1 cilia 2 goblet cell,electron micrograph lining trachea 1 cilium 2 goblet cell,electron micrograph line trachea 1 cilia 2 goblet cell,train
2534,dataset/images/19.pdf/page_142_image_3.jpeg,A radiograph of the thorax 1 Thoracic vertebra 2 Right lung 3 Rib 4 Image of right breast 5 Diaphragmliver,[],<None>,19.pdf,radiograph thorax 1 thoracic vertebra 2 right lung 3 rib 4 image right breast 5 diaphragmliver,radiograph thorax 1 thoracic vertebra 2 right lung 3 rib 4 image right breast 5 diaphragmliver,radiograph thorax 1 thorac vertebra 2 right lung 3 rib 4 imag right breast 5 diaphragmliv,train
2535,dataset/images/19.pdf/page_142_image_4.jpeg,Bronchiole 1 Pulmonary arteriole 2 Bronchiole 3 Pulmonary alveoli,[],<None>,19.pdf,bronchiole 1 pulmonary arteriole 2 bronchiole 3 pulmonary alveoli,bronchiole 1 pulmonary arteriole 2 bronchiole 3 pulmonary alveolus,bronchiol 1 pulmonari arteriol 2 bronchiol 3 pulmonari alveoli,train
2536,dataset/images/19.pdf/page_142_image_5.jpeg,Pulmonary alveoli 1  Capillary in alveolar wall,[],<None>,19.pdf,pulmonary alveoli 1 capillary alveolar wall,pulmonary alveolus 1 capillary alveolar wall,pulmonari alveoli 1 capillari alveolar wall,train
2537,dataset/images/19.pdf/page_144_image_1.jpeg,The oral region lips and teeth 1 Medial central incisor 2 Lateral incisor 3 Canine 4 Canine 5 Lateral incisor,[],<None>,19.pdf,oral region lips teeth 1 medial central incisor 2 lateral incisor 3 canine 4 canine 5 lateral incisor,oral region lip teeth 1 medial central incisor 2 lateral incisor 3 canine 4 canine 5 lateral incisor,oral region lip teeth 1 medial central incisor 2 later incisor 3 canin 4 canin 5 later incisor,train
2538,dataset/images/19.pdf/page_144_image_2.jpeg,The structures of the oral cavity with the mouth open and the tongue elevated 1 Tongue 2 Lingual frenulum,[],<None>,19.pdf,structures oral cavity mouth open tongue elevated 1 tongue 2 lingual frenulum,structure oral cavity mouth open tongue elevated 1 tongue 2 lingual frenulum,structur oral caviti mouth open tongu elev 1 tongu 2 lingual frenulum,train
2539,dataset/images/19.pdf/page_144_image_3.jpeg,The structure of the digestive system,[],<None>,19.pdf,structure digestive system,structure digestive system,structur digest system,train
2540,dataset/images/19.pdf/page_145_image_1.jpeg,Filiform and fungiform papillae 1 Filiform papillae 2 Fungiform papilla,[],<None>,19.pdf,filiform fungiform papillae 1 filiform papillae 2 fungiform papilla,filiform fungiform papilla 1 filiform papilla 2 fungiform papilla,filiform fungiform papilla 1 filiform papilla 2 fungiform papilla,train
2541,dataset/images/19.pdf/page_145_image_2.jpeg,Vallate papilla 1 Vallate papilla 2 Taste buds,[],<None>,19.pdf,vallate papilla 1 vallate papilla 2 taste buds,vallate papilla 1 vallate papilla 2 taste bud,vallat papilla 1 vallat papilla 2 tast bud,train
2542,dataset/images/19.pdf/page_145_image_3.jpeg,Developing tooth 1 Ameloblasts 2 Enamel,[],<None>,19.pdf,developing tooth 1 ameloblasts 2 enamel,developing tooth 1 ameloblast 2 enamel,develop tooth 1 ameloblast 2 enamel,train
2543,dataset/images/19.pdf/page_145_image_4.jpeg,Mature tooth 1  Dentin enamel has been dissolved away,[],<None>,19.pdf,mature tooth 1 dentin enamel dissolved away,mature tooth 1 dentin enamel dissolved away,matur tooth 1 dentin enamel dissolv away,train
2544,dataset/images/19.pdf/page_145_image_5.jpeg,Acini of salivary tissue 1 Serous acinus 2  Serous demilune on mucous acinus,[],<None>,19.pdf,acini salivary tissue 1 serous acinus 2 serous demilune mucous acinus,acinus salivary tissue 1 serous acinus 2 serous demilune mucous acinus,acini salivari tissu 1 serou acinu 2 serou demilun mucou acinu,train
2545,dataset/images/19.pdf/page_145_image_6.jpeg,The superficial structures of the oral cavity 1 Pharyngopalatine arch 2 Palatine tonsil 3 Soft palate,[],<None>,19.pdf,superficial structures oral cavity 1 pharyngopalatine arch 2 palatine tonsil 3 soft palate,superficial structure oral cavity 1 pharyngopalatine arch 2 palatine tonsil 3 soft palate,superfici structur oral caviti 1 pharyngopalatin arch 2 palatin tonsil 3 soft palat,train
2546,dataset/images/19.pdf/page_146_image_1.jpeg,Submandibular gland about 15 mucous and 45 serous 1 Serous acinus 2 Mucous acinus,[],<None>,19.pdf,submandibular gland 15 mucous 45 serous 1 serous acinus 2 mucous acinus,submandibular gland 15 mucous 45 serous 1 serous acinus 2 mucous acinus,submandibular gland 15 mucou 45 serou 1 serou acinu 2 mucou acinu,train
2547,dataset/images/19.pdf/page_146_image_2.jpeg,Striated duct 1 Mucous acini 2 Serous acinus,[],<None>,19.pdf,striated duct 1 mucous acini 2 serous acinus,striated duct 1 mucous acinus 2 serous acinus,striat duct 1 mucou acini 2 serou acinu,train
2548,dataset/images/19.pdf/page_146_image_3.jpeg,Parotid gland purely serous 1 Serous acini 2 Lumen of excretory duct,[],<None>,19.pdf,parotid gland purely serous 1 serous acini 2 lumen excretory duct,parotid gland purely serous 1 serous acinus 2 lumen excretory duct,parotid gland pure serou 1 serou acini 2 lumen excretori duct,train
2549,dataset/images/19.pdf/page_146_image_4.jpeg,Cross section of esophagus 1 Mucosa 2 Submucosa,[],<None>,19.pdf,cross section esophagus 1 mucosa 2 submucosa,cross section esophagus 1 mucosa 2 submucosa,cross section esophagu 1 mucosa 2 submucosa,train
2550,dataset/images/19.pdf/page_146_image_5.jpeg,Cross section of esophagus 1 Mucosa 2 Submucosa,[],<None>,19.pdf,cross section esophagus 1 mucosa 2 submucosa,cross section esophagus 1 mucosa 2 submucosa,cross section esophagu 1 mucosa 2 submucosa,train
2551,dataset/images/19.pdf/page_146_image_6.jpeg,Sublingual gland mostly mucous some serous 1 Mucous acini 2 Serous demilune,[],<None>,19.pdf,sublingual gland mostly mucous serous 1 mucous acini 2 serous demilune,sublingual gland mostly mucous serous 1 mucous acinus 2 serous demilune,sublingu gland mostli mucou serou 1 mucou acini 2 serou demilun,train
2552,dataset/images/19.pdf/page_147_image_1.jpeg,An anterior aspect of the trunk 1 Right lung 2 Falciform ligament 3 Right lobe of liver 4 Gallbladder 5 Body of stomach 6  Greater curvature of stomach,[],<None>,19.pdf,anterior aspect trunk 1 right lung 2 falciform ligament 3 right lobe liver 4 gallbladder 5 body stomach 6 greater curvature stomach,anterior aspect trunk 1 right lung 2 falciform ligament 3 right lobe liver 4 gallbladder 5 body stomach 6 greater curvature stomach,anterior aspect trunk 1 right lung 2 falciform ligament 3 right lobe liver 4 gallbladd 5 bodi stomach 6 greater curvatur stomach,train
2553,dataset/images/19.pdf/page_147_image_2.jpeg,An anterior view of the stomach and liver 1 Left lobe of liver reflected,[],<None>,19.pdf,anterior view stomach liver 1 left lobe liver reflected,anterior view stomach liver 1 left lobe liver reflected,anterior view stomach liver 1 left lobe liver reflect,train
2554,dataset/images/19.pdf/page_147_image_3.jpeg,The thoracic and abdominal viscera 1 Lungs 2  Heart surrounded by pericardial fat,[],<None>,19.pdf,thoracic abdominal viscera 1 lungs 2 heart surrounded pericardial fat,thoracic abdominal viscera 1 lung 2 heart surrounded pericardial fat,thorac abdomin viscera 1 lung 2 heart surround pericardi fat,train
2555,dataset/images/19.pdf/page_147_image_4.jpeg,A CT scanogram of the trunk,[],<None>,19.pdf,ct scanogram trunk,ct scanogram trunk,ct scanogram trunk,train
2556,dataset/images/19.pdf/page_148_image_1.jpeg,The upper abdominal organs The greater omentum has been removed and the stomach reflected,[],<None>,19.pdf,upper abdominal organs greater omentum removed stomach reflected,upper abdominal organ greater omentum removed stomach reflected,upper abdomin organ greater omentum remov stomach reflect,valid
2557,dataset/images/19.pdf/page_148_image_2.jpeg,The interior aspect of the stomach 1 Esophagus 2 Gastric folds rugae 3 Duodenum,[],<None>,19.pdf,interior aspect stomach 1 esophagus 2 gastric folds rugae 3 duodenum,interior aspect stomach 1 esophagus 2 gastric fold ruga 3 duodenum,interior aspect stomach 1 esophagu 2 gastric fold ruga 3 duodenum,train
2558,dataset/images/19.pdf/page_148_image_3.jpeg,The major regions and structures of the stomach 1 Esophagus 2  Cardiac portion of stomach,[],<None>,19.pdf,major regions structures stomach 1 esophagus 2 cardiac portion stomach,major region structure stomach 1 esophagus 2 cardiac portion stomach,major region structur stomach 1 esophagu 2 cardiac portion stomach,train
